
train_batch_node_id, train_batch_node_size
1,795
2,773
3,768
4,801
5,795
6,829
7,842
8,761

train_batch_edge_id, train_batch_edge_size
1,3407
2,3259
3,3256
4,3569
5,3487
6,3587
7,3726
8,3241

train_seed_node_id, train_seed_node_size
1,224
2,224
3,224
4,224
5,224
6,224
7,224
8,219

train_batch_node_id, train_batch_node_size
1,783
2,804
3,803
4,818
5,794
6,816
7,796
8,762

train_batch_edge_id, train_batch_edge_size
1,3241
2,3496
3,3337
4,3532
5,3328
6,3544
7,3414
8,3270

train_seed_node_id, train_seed_node_size
1,224
2,224
3,224
4,224
5,224
6,224
7,224
8,219

train_batch_node_id, train_batch_node_size
1,813
2,820
3,805
4,794
5,760
6,823
7,813
8,779

train_batch_edge_id, train_batch_edge_size
1,3423
2,3560
3,3501
4,3384
5,3164
6,3615
7,3443
8,3267

train_seed_node_id, train_seed_node_size
1,224
2,224
3,224
4,224
5,224
6,224
7,224
8,219

train_batch_node_id, train_batch_node_size
1,826
2,797
3,802
4,826
5,780
6,805
7,782
8,777

train_batch_edge_id, train_batch_edge_size
1,3506
2,3433
3,3588
4,3558
5,3422
6,3525
7,3410
8,3227

train_seed_node_id, train_seed_node_size
1,224
2,224
3,224
4,224
5,224
6,224
7,224
8,219

train_batch_node_id, train_batch_node_size
1,723
2,790
3,840
4,763
5,818
6,849
7,774
8,795

train_batch_edge_id, train_batch_edge_size
1,3019
2,3356
3,3824
4,3307
5,3604
6,3719
7,3258
8,3363

train_seed_node_id, train_seed_node_size
1,224
2,224
3,224
4,224
5,224
6,224
7,224
8,219
