-----------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  
Name                                 Self CPU total %  Self CPU total   CPU total %      CPU total        CPU time avg     CUDA total %     CUDA total       CUDA time avg    Number of Calls  
-----------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  
bitwise_not_out                      0.73%            3.746ms          0.73%            3.746ms          9.318us          0.18%            1.603ms          3.987us          402              
slice                                0.27%            1.384ms          0.27%            1.384ms          3.442us          0.14%            1.215ms          3.021us          402              
detach_                              0.21%            1.094ms          0.21%            1.094ms          1.374us          0.11%            971.078us        1.220us          796              
unsigned short                       0.40%            2.062ms          0.40%            2.062ms          3.437us          0.07%            644.971us        1.075us          600              
AddBackward0                         0.15%            764.141us        0.15%            764.141us        1.910us          0.06%            569.352us        1.423us          400              
torch::autograd::GraphRoot           0.18%            913.207us        0.18%            913.207us        4.566us          0.05%            422.687us        2.113us          200              
max                                  0.00%            15.869us         0.00%            15.869us         15.869us         0.00%            32.812us         32.812us         1                
item                                 0.00%            6.799us          0.01%            28.381us         14.191us         0.00%            27.812us         13.906us         2                
_local_scalar_dense                  0.00%            21.582us         0.00%            21.582us         10.791us         0.00%            21.438us         10.719us         2                
is_complex                           0.00%            4.738us          0.00%            4.738us          2.369us          0.00%            5.562us          2.781us          2                
is_floating_point                    0.00%            3.102us          0.00%            3.102us          1.551us          0.00%            3.312us          1.656us          2                
-----------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  
Self CPU time total: 514.001ms
CUDA time total: 889.034ms
