-------------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  
Name                                   Self CPU total %  Self CPU total   CPU total %      CPU total        CPU time avg     CUDA total %     CUDA total       CUDA time avg    Number of Calls  
-------------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  
unsqueeze                              0.41%            2.141ms          0.41%            2.141ms          5.327us          0.20%            1.762ms          4.384us          402              
unsigned short                         0.57%            2.976ms          0.57%            2.976ms          4.960us          0.17%            1.526ms          2.544us          600              
slice                                  0.26%            1.374ms          0.26%            1.374ms          3.384us          0.13%            1.205ms          2.967us          406              
detach_                                0.22%            1.137ms          0.22%            1.137ms          1.428us          0.10%            860.545us        1.081us          796              
AddBackward0                           0.15%            778.451us        0.15%            778.451us        1.946us          0.06%            578.666us        1.447us          400              
torch::autograd::GraphRoot             0.21%            1.102ms          0.21%            1.102ms          5.510us          0.06%            567.150us        2.836us          200              
item                                   0.01%            74.894us         0.03%            131.810us        4.882us          0.01%            130.160us        4.821us          27               
max                                    0.01%            40.144us         0.01%            40.144us         20.072us         0.01%            56.872us         28.436us         2                
_local_scalar_dense                    0.01%            56.916us         0.01%            56.916us         2.108us          0.01%            54.904us         2.033us          27               
uniform_                               0.01%            40.393us         0.01%            40.393us         20.196us         0.00%            38.688us         19.344us         2                
alias                                  0.00%            18.931us         0.00%            18.931us         2.366us          0.00%            18.819us         2.352us          8                
_has_compatible_shallow_copy_type      0.00%            10.772us         0.00%            10.772us         1.346us          0.00%            9.891us          1.236us          8                
is_floating_point                      0.00%            9.928us          0.00%            9.928us          1.418us          0.00%            7.797us          1.114us          7                
is_complex                             0.00%            3.803us          0.00%            3.803us          1.268us          0.00%            3.343us          1.114us          3                
-------------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  
Self CPU time total: 521.168ms
CUDA time total: 902.442ms
