-----------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  
Name                                 Self CPU total %  Self CPU total   CPU total %      CPU total        CPU time avg     CUDA total %     CUDA total       CUDA time avg    Number of Calls  
-----------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  
bitwise_not_out                      0.74%            3.855ms          0.74%            3.855ms          9.589us          0.17%            1.565ms          3.893us          402              
AddBackward0                         0.26%            1.371ms          0.26%            1.371ms          3.427us          0.12%            1.114ms          2.785us          400              
detach_                              0.21%            1.120ms          0.21%            1.120ms          1.408us          0.10%            919.137us        1.155us          796              
unsigned short                       0.40%            2.087ms          0.40%            2.087ms          3.478us          0.08%            681.650us        1.136us          600              
torch::autograd::GraphRoot           0.17%            900.437us        0.17%            900.437us        4.502us          0.05%            448.103us        2.241us          200              
max                                  0.00%            17.293us         0.00%            17.293us         17.293us         0.00%            34.312us         34.312us         1                
item                                 0.00%            6.890us          0.01%            26.238us         13.119us         0.00%            26.375us         13.188us         2                
_local_scalar_dense                  0.00%            19.348us         0.00%            19.348us         9.674us          0.00%            20.562us         10.281us         2                
is_floating_point                    0.00%            2.849us          0.00%            2.849us          1.425us          0.00%            3.562us          1.781us          2                
is_complex                           0.00%            2.915us          0.00%            2.915us          1.458us          0.00%            2.312us          1.156us          2                
-----------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  
Self CPU time total: 523.995ms
CUDA time total: 900.652ms
