-----------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  -----------------------------------  
Name                                 Self CPU total %  Self CPU total   CPU total %      CPU total        CPU time avg     CUDA total %     CUDA total       CUDA time avg    Number of Calls  Input Shapes                         
-----------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  -----------------------------------  
empty                                0.00%            2.127us          0.00%            2.127us          2.127us          0.00%            2.049us          2.049us          1                []                                   
bitwise_not_out                      0.00%            8.702us          0.00%            8.702us          8.702us          0.00%            8.929us          8.929us          1                []                                   
to                                   0.00%            3.982us          0.00%            3.982us          3.982us          0.00%            3.073us          3.073us          1                []                                   
index                                0.01%            38.914us         0.01%            38.914us         38.914us         0.01%            39.328us         39.328us         1                []                                   
to                                   0.00%            1.533us          0.00%            1.533us          1.533us          0.00%            1.185us          1.185us          1                []                                   
index                                0.01%            39.055us         0.01%            39.055us         39.055us         0.01%            41.151us         41.151us         1                []                                   
cat                                  0.00%            18.510us         0.00%            18.510us         18.510us         0.00%            18.720us         18.720us         1                []                                   
unsqueeze                            0.00%            4.988us          0.00%            4.988us          4.988us          0.00%            5.088us          5.088us          1                []                                   
repeat                               0.00%            17.287us         0.00%            17.287us         17.287us         0.00%            18.144us         18.144us         1                []                                   
slice                                0.00%            3.159us          0.00%            3.159us          3.159us          0.00%            2.432us          2.432us          1                []                                   
to                                   0.00%            1.377us          0.00%            1.377us          1.377us          0.00%            1.823us          1.823us          1                []                                   
index                                0.01%            43.893us         0.01%            43.893us         43.893us         0.01%            45.633us         45.633us         1                []                                   
cat                                  0.00%            17.246us         0.00%            17.246us         17.246us         0.00%            17.119us         17.119us         1                []                                   
select                               0.00%            4.063us          0.00%            4.063us          4.063us          0.00%            3.712us          3.712us          1                []                                   
select                               0.00%            2.273us          0.00%            2.273us          2.273us          0.00%            2.977us          2.977us          1                []                                   
view                                 0.00%            4.386us          0.00%            4.386us          4.386us          0.00%            4.097us          4.097us          1                []                                   
expand_as                            0.00%            5.242us          0.00%            5.242us          5.242us          0.00%            5.280us          5.280us          1                []                                   
expand                               0.00%            2.524us          0.00%            2.524us          2.524us          0.00%            2.561us          2.561us          1                []                                   
scatter_add_                         0.00%            10.963us         0.00%            10.963us         10.963us         0.00%            11.903us         11.903us         1                []                                   
pow                                  0.00%            8.517us          0.00%            8.517us          8.517us          0.00%            8.192us          8.192us          1                []                                   
eq                                   0.00%            7.934us          0.00%            7.934us          7.934us          0.00%            8.225us          8.225us          1                []                                   
scalar_tensor                        0.00%            13.830us         0.00%            13.830us         13.830us         0.00%            12.960us         12.960us         1                []                                   
empty                                0.00%            2.622us          0.00%            2.622us          2.622us          0.00%            2.593us          2.593us          1                []                                   
fill_                                0.00%            6.575us          0.00%            6.575us          6.575us          0.00%            7.840us          7.840us          1                []                                   
to                                   0.00%            1.424us          0.00%            1.424us          1.424us          0.00%            0.576us          0.576us          1                []                                   
index_put_                           0.01%            33.855us         0.01%            33.855us         33.855us         0.01%            34.081us         34.081us         1                []                                   
to                                   0.00%            1.492us          0.00%            1.492us          1.492us          0.00%            1.216us          1.216us          1                []                                   
index                                0.00%            12.021us         0.00%            12.021us         12.021us         0.00%            14.176us         14.176us         1                []                                   
mul                                  0.00%            10.761us         0.00%            10.761us         10.761us         0.00%            11.968us         11.968us         1                []                                   
to                                   0.00%            1.428us          0.00%            1.428us          1.428us          0.00%            0.672us          0.672us          1                []                                   
index                                0.00%            10.568us         0.00%            10.568us         10.568us         0.00%            12.416us         12.416us         1                []                                   
mul                                  0.00%            7.464us          0.00%            7.464us          7.464us          0.00%            8.032us          8.032us          1                []                                   
