-----------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  
Name                                 Self CPU total %  Self CPU total   CPU total %      CPU total        CPU time avg     CUDA total %     CUDA total       CUDA time avg    Number of Calls  
-----------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  
unsigned short                       0.51%            2.315ms          0.51%            2.315ms          3.859us          0.22%            1.463ms          2.438us          600              
_masked_scale                        0.55%            2.520ms          0.55%            2.520ms          12.598us         0.21%            1.364ms          6.821us          200              
slice                                0.29%            1.332ms          0.29%            1.332ms          3.314us          0.18%            1.199ms          2.981us          402              
detach_                              0.25%            1.138ms          0.25%            1.138ms          1.430us          0.16%            1.042ms          1.309us          796              
torch::autograd::GraphRoot           0.25%            1.146ms          0.25%            1.146ms          5.728us          0.10%            683.102us        3.416us          200              
AddBackward0                         0.16%            753.345us        0.16%            753.345us        1.883us          0.10%            651.898us        1.630us          400              
item                                 0.00%            7.219us          0.01%            29.796us         14.898us         0.00%            28.562us         14.281us         2                
_local_scalar_dense                  0.00%            22.577us         0.00%            22.577us         11.289us         0.00%            22.812us         11.406us         2                
max                                  0.00%            16.458us         0.00%            16.458us         16.458us         0.00%            16.625us         16.625us         1                
is_complex                           0.00%            2.408us          0.00%            2.408us          1.204us          0.00%            2.688us          1.344us          2                
is_floating_point                    0.00%            2.801us          0.00%            2.801us          1.400us          0.00%            2.375us          1.188us          2                
-----------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  
Self CPU time total: 457.599ms
CUDA time total: 664.523ms
