-------------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  
Name                                   Self CPU total %  Self CPU total   CPU total %      CPU total        CPU time avg     CUDA total %     CUDA total       CUDA time avg    Number of Calls  
-------------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  
unsqueeze                              0.45%            2.036ms          0.45%            2.036ms          5.065us          0.26%            1.734ms          4.314us          402              
unsigned short                         0.57%            2.587ms          0.57%            2.587ms          4.311us          0.23%            1.538ms          2.563us          600              
slice                                  0.30%            1.348ms          0.30%            1.348ms          3.319us          0.18%            1.197ms          2.949us          406              
detach_                                0.25%            1.146ms          0.25%            1.146ms          1.440us          0.16%            1.039ms          1.306us          796              
AddBackward0                           0.17%            774.725us        0.17%            774.725us        1.937us          0.15%            1.002ms          2.506us          400              
torch::autograd::GraphRoot             0.21%            952.181us        0.21%            952.181us        4.761us          0.06%            382.623us        1.913us          200              
item                                   0.02%            78.385us         0.03%            136.477us        5.055us          0.02%            130.120us        4.819us          27               
uniform_                               0.02%            95.064us         0.02%            95.064us         47.532us         0.01%            92.991us         46.496us         2                
_local_scalar_dense                    0.01%            58.092us         0.01%            58.092us         2.152us          0.01%            56.835us         2.105us          27               
max                                    0.01%            29.587us         0.01%            29.587us         14.793us         0.00%            30.134us         15.067us         2                
alias                                  0.00%            20.476us         0.00%            20.476us         2.560us          0.00%            21.633us         2.704us          8                
_has_compatible_shallow_copy_type      0.00%            11.086us         0.00%            11.086us         1.386us          0.00%            10.398us         1.300us          8                
is_floating_point                      0.00%            10.214us         0.00%            10.214us         1.459us          0.00%            9.553us          1.365us          7                
is_complex                             0.00%            3.923us          0.00%            3.923us          1.308us          0.00%            3.660us          1.220us          3                
-------------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  
Self CPU time total: 451.255ms
CUDA time total: 663.829ms
